"",baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression
ENSG00000067048,96.731045661841,8.250884877634,0.861935907231059,9.5725039511809,1.04347299301618e-21,7.52865764461171e-18,Up
ENSG00000183878,41.8738885726703,9.07475216719231,1.05687816950773,8.5863748812402,8.97564633700278e-18,3.23796441607375e-14,Up
ENSG00000198692,39.0250755779142,8.2432142696519,1.08485289579014,7.59846270553397,2.99669189613094e-14,7.20704401019492e-11,Up
ENSG00000129824,13.9819381321709,7.49427821377395,1.10430187526404,6.78643981473094,1.14934418035923e-11,2.07312956532296e-08,Up
ENSG00000003137,15.3341609716351,7.62826242511474,1.21991136666553,6.25312841043984,4.02311078402832e-10,5.80534886135287e-07,Up
ENSG00000229807,22.8975099765196,-4.86462480335532,0.812809988321503,-5.98494712571266,2.16460167153559e-09,2.60293351002154e-06,Down
ENSG00000137965,124.128408966218,-3.19521050836423,0.537583540139611,-5.94365390639458,2.78737795038093e-09,2.87299027314263e-06,Down
ENSG00000099725,7.9563315583534,6.68529031157576,1.16174879892416,5.75450589470518,8.68955734468162e-09,7.83689453023473e-06,Up
ENSG00000132530,304.392366836804,-2.20359945930064,0.397370271788237,-5.54545625515479,2.9318863248292e-08,1.92305089396752e-05,Down
ENSG00000134326,116.448113977894,-3.38922893714668,0.609930017590164,-5.5567505113743,2.74843162631902e-08,1.92305089396752e-05,Down
ENSG00000138646,260.807331832378,-2.19456620921396,0.395538532384453,-5.54829941847713,2.88461566386322e-08,1.92305089396752e-05,Down
ENSG00000137959,80.0637285985463,-3.4539840646539,0.63576708039538,-5.43278217945145,5.54821179919249e-08,3.33586234426448e-05,Down
ENSG00000185745,768.305163961843,-2.53226369047085,0.469897748422387,-5.38896749127347,7.0863621422117e-08,3.93293098892749e-05,Down
ENSG00000198223,272.740254622065,0.694463220521938,0.141720075506918,4.90024591108857,9.57167740616985e-07,0.000493283232039396,NS
ENSG00000126709,442.975849389755,-2.1746597616588,0.450340062500276,-4.82892805402466,1.37269989225273e-06,0.000660268648173561,Down
ENSG00000007516,126.205425756889,-1.74700667892306,0.363251357072378,-4.80936036413754,1.5141402336828e-06,0.000680200572794615,Down
ENSG00000136826,56.1802311098622,-1.98295513074422,0.413289065875553,-4.7979859485112,1.60269019230886e-06,0.000680200572794615,Down
ENSG00000137628,111.081043816909,-2.29025175649012,0.484679656020872,-4.72528963829976,2.29787600020602e-06,0.000921065296749247,Down
ENSG00000152778,178.658583926319,-2.02398855919877,0.44468858644559,-4.55147404473898,5.32713703872566e-06,0.00202291019654767,Down
ENSG00000055332,302.074245545642,-1.3620339816605,0.303995595753844,-4.4804398507253,7.44893704633303e-06,0.00260268635406282,Down
ENSG00000125148,53.3488095797279,-2.70993821084809,0.605323085136158,-4.4768459643969,7.57538647752173e-06,0.00260268635406282,Down
